airline_id,icao,callsign,airline_name,HQ,include,notes
Q5,,,40 Mile Air,,no,
AQ,,,9 Air,,no,
AN,,,Advanced Air,,no,
A3,AEE,AEGEAN,Aegean Airlines,Athens,yes,
AER,,,Aer Arann Islands,,no,
EI,EIN,SHAMROCK,Aer Lingus,Dublin,yes,
RF,,,Aero K,,no,
KA,,,Aero Nomad,,no,
SU,AFL,AEROFLOT,Aeroflot,Moscow,yes,
XZ,,,AeroItalia,,no,
AR,ARG,ARGENTINA,Aerolineas Argentinas,Buenos Aires,yes,
A8,,,Aerolink Uganda Ltd,,no,
AM,AMX,AEROMEXICO,Aeromexico,Mexico City,yes,
M0,,,AeroMongolia,,no,
V5,,,Aerovias DAP,,no,
AW,,,Africa World Airlines Limited,,no,
XU,,,African Express Airways,,no,
J7,,,Afrijet,,no,
8U,,,Afriqiyah Airways,,no,
ZB,,,Air Albania,,no,defunct in 2025
AH,DAH,AIR ALGERIE,Air Algerie,Algiers,yes,
3S,,,Air Antilles,,no,
G9,ABY,ARABIA,Air Arabia,Sharjah,yes,
3L,,,Air Arabia Abu Dhabi,,no,
E5,,,Air Arabia Egypt,,no,
3O,,,Air Arabia Maroc,,no,
KC,KZR,ASTANALINE,Air Astana,Almaty,yes,
2A,,,Air Astra,,no,
UU,,,Air Austral,,no,
BT,BTI,AIR BALTIC,Air Baltic,Riga,yes,
KF,,,Air Belgium,,no,
BP,,,Air Botswana,,no,
2J,,,Air Burkina,,no,
BX,,,Air Busan,,no,? Third largest low cost in korea; subsidiary of Asiana
SM,,,Air Cairo,,no,subsidiary of Egyptair
TY,,,Air Caledonie,,no,
AC,ACA,AIR CANADA,Air Canada,Montreal,yes,
TX,,,Air Caraibes,,no,? Guadeloupe
Y2,,,Air Century,,no,
9H,,,Air Changan,,no,? Small china
3C,,,Air Chathams,,no,
CA,CCA,AIR CHINA,Air China,Beijing,yes,
DV,,,Air Company Scat,,no,
XK,,,Air Corsica,,no,small french
HF,VRE,COTE D'IVOIRE,Air Cote Ivoire,Abidjan,yes,"? Could leave out, small"
YN,,,Air Creebec (1994) Inc.,,no,
DJ,,,Air Djibouti,,no,
EN,,,Air Dolomiti,,no,
UX,AEA,EUROPA,Air Europa,Madrid,yes,
X4,,,"Air Excursions, LLC",,no,
AF,AFR,AIRFRANS,Air France,Paris,yes,
GL,,,Air Greenland,,no,? small
GT,,,Air Guilin,,no,
AI,AIC,AIRINDIA,Air India,Delhi,yes,
IX,,,Air India Express,,no,
9I,,,Air India Regional,,no,
3H,,,Air Inuit,,no,
NQ,,,Air Japan,,no,defunct in 2026
K7,,,Air KBZ,,no,
IK,,,Air Kiribati,,no,
JS,,,Air Koryo,,no,north korea?
NX,AMU,AIR MACAU,Air Macau,Macau,yes,
MD,,,Air Madagascar,,no,
ZM,,,Air Manas,,no,
MK,,,Air Mauritius,,no,
MV,,,Air Mediterranean,,no,
4O,,,Air Montenegro,,no,
NZ,ANZ,NEW ZEALND,Air New Zealand,Auckland,yes,
PX,ANG,Air Niugini,Air Niugini,Port Moresby,yes,"? Could leave out, small"
4N,,,Air North,,no,
7P,,,Air Panama,,no,
P4,APK,PEACE BIRD,Air Peace,Lagos,yes,
