airplaneModelId,airplane,name
,NDC,Aerospatiale SN601 Corvette
,ATR,Aerospatiale/Alenia ATR
36,AT4,Aerospatiale/Alenia ATR 42-300/320
37,AT5,Aerospatiale/Alenia ATR 42-500
39,AT7,Aerospatiale/Alenia ATR 72
126,SSC,Aerospatiale/British Aerospace Concorde (discontinued)
,NDE,Aerospatiale/Eurocopter Ecureuil AS350/AS355
,ND2,Aerospatiale/Nord 262
,CRV,Aerospatiale/SUD SE210 Caravelle
,AGH,Agusta A109
4,AB3,Airbus Industrie A300
4,ABF,Airbus Industrie A300 Freighter
4,AB6,Airbus Industrie A300-600
4,ABY,Airbus Industrie A300-600 Freighter
4,ABB,Airbus Industrie A300-600ST Beluga
5,AB4,Airbus Industrie A300B2/B4/C4
5,ABX,Airbus Industrie A300B4/C4/F4 Freighter
6,310,Airbus Industrie A310
6,31F,Airbus Industrie A310 Freighter
6,312,Airbus Industrie A310-200
6,31X,Airbus Industrie A310-200 Freighter
7,313,Airbus Industrie A310-300
7,31Y,Airbus Industrie A310-300 Freighter
8,318,Airbus Industrie A318
9,32S,Airbus Industrie A318/319/320/321
9,319,Airbus Industrie A319
11,31N,Airbus Industrie A319neo
12,320,Airbus Industrie A320
12,32A,Airbus Industrie A320-200 (Sharklets)
13,32N,Airbus Industrie A320neo
14,321,Airbus Industrie A321
14,32B,Airbus Industrie A321-200 (Sharklets)
15,32Q,Airbus Industrie A321neo
18,330,Airbus Industrie A330
18,332,Airbus Industrie A330-200
19,333,Airbus Industrie A330-300
20,338,Airbus Industrie A330-800
21,339,Airbus Industrie A330-900
23,340,Airbus Industrie A340
23,342,Airbus Industrie A340-200
23,343,Airbus Industrie A340-300
24,345,Airbus Industrie A340-500
25,346,Airbus Industrie A340-600
26,351,Airbus Industrie A350-1000
28,359,Airbus Industrie A350-900
30,380,Airbus Industrie A380
30,38F,Airbus Industrie A380 Freighter
30,388,Airbus Industrie A380-800
,ANF,Antonov An-12
,A4F,Antonov An-124 Ruslan
,A40,Antonov An-140
33,A81,Antonov An-148-100
,A58,Antonov An-158
34,AN4,Antonov An-24
34,A26,Antonov An-26
34,AN6,Antonov An-26/30/32
34,A28,Antonov An-28
34,A30,Antonov An-30
34,A32,Antonov An-32
35,AN7,Antonov An-72/74
,C27,ARJ 21-700
,ARJ,Avro RJ Avroliner
,AR1,Avro RJ100 Avroliner
,AR7,Avro RJ70 Avroliner
,AR8,Avro RJ85 Avroliner
,AX1,Avro RJX100
,AX8,Avro RJX85
47,B20,Beech B200 Super King Air
,BE9,Beechcraft Airliner 99
46,BE1,Beechcraft Beech 1900
46,BES,Beechcraft Beech 1900C
46,BEH,Beechcraft Beech 1900D
,BEC,Beechcraft Light Aircraft
,BET,Beechcraft Light Aircraft Twin Prop
,BE2,Beechcraft twin piston
,BH2,Bell Helicopters
51,707,Boeing 707/720
52,703,Boeing 707-300
52,70M,Boeing 707-300 Combi
52,70F,Boeing 707-300 Freighter
53,717,Boeing 717-200
54,B72,Boeing 720B
55,727,Boeing 727
55,72M,Boeing 727 Combi
55,72F,Boeing 727 Freighter
55,721,Boeing 727-100
55,72B,Boeing 727-100 Combi
55,72X,Boeing 727-100 Freighter
56,722,Boeing 727-200
56,72S,Boeing 727-200
56,72A,Boeing 727-200 Advanced
56,72C,Boeing 727-200 Combi
56,72Y,Boeing 727-200 Freighter
62,737,Boeing 737
62,73S,Boeing 737 Advanced
62,73F,Boeing 737 Freighter
62,731,Boeing 737-100
63,732,Boeing 737-200
63,73M,Boeing 737-200 Combi
63,73X,Boeing 737-200 Freighter
63,73A,Boeing 737-200/200C Advanced
64,733,Boeing 737-300
64,73C,Boeing 737-300
64,73Y,Boeing 737-300 Freighter
64,73N,Boeing 737-300 Mixed Config
65,734,Boeing 737-400
65,73P,Boeing 737-400 Freighter
65,73Q,Boeing 737-400 Mixed Config
66,735,Boeing 737-500
67,736,Boeing 737-600
68,73G,Boeing 737-700
68,73R,Boeing 737-700 Combi
68,73W,Boeing 737-700 With Winglets
70,738,Boeing 737-800
59,7M8,Boeing 737-800 MAX
59,73H,Boeing 737-800 With Winglets
71,739,Boeing 737-900
71,7M9,Boeing 737-900 MAX
71,73J,Boeing 737-900 With Winglets
71,73E,Boeing 737-900ER
72,747,Boeing 747
72,74M,Boeing 747 Combi
72,74F,Boeing 747 Freighter
72,741,Boeing 747-100
72,74T,Boeing 747-100 Freighter
73,742,Boeing 747-200
73,74C,Boeing 747-200 Combi
73,74X,Boeing 747-200 Freighter
74,743,Boeing 747-300 (including -100SUD and -200SUD)
74,74D,Boeing 747-300 Combi (including -200SUD)
74,74U,Boeing 747-300 Freighter
75,744,Boeing 747-400
75,74E,Boeing 747-400 Combi
75,74J,Boeing 747-400 Domestic
75,74Y,Boeing 747-400 Freighter
