iata,tags
AAE,|FR|Algerian x2
AAE,Mediterranean marine
AAL,Jutland capital journeys
AAL,Wind energy
AAN,|AE|Malayali
AAN,Urdu|
AAR,Dairy
AAR,Jutland capital journeys
AAR,Wind energy
AAT,Sheep
ABA,Aluminum
ABA,Coal RU
ABD,NIOC
ABI,Cryptocurrency
ABJ,|UK|Nigerian
ABJ,Chocolate
ABJ,Lebanese|
ABJ,Logistics MEA
ABJ,Offshore oil
ABJ,Rubber
ABJ,Sapeur Network
ABQ,Academia
ABQ,Hispanic|
ABQ,Renewables
ABQ,TV / movies
ABQ,UFOs
ABV,|AE|Nigerian
ABV,|US|Nigerian
ABV,Bureaucracy
ABY,Cotton
ABY,Peanuts
ABZ,Atlantic Fishing
ABZ,Equinor
ABZ,Offshore oil
ABZ,Whiskey
ABZ,Wind energy
ACA,|US|Guerrero & Oaxaca
ACC,|NL|Ghanaian
ACC,Agriculture
ACC,Chocolate
ACC,Humanitarian NGO
ACE,Atlantic Fishing
ACH,Fine cheese
ACH,Loves Alps|
ACK,Wind energy
ACT,Ranching
ACV,|US|Guerrero & Oaxaca
ACV,Drug trafficking
ACV,Forestry
ACY,Casinos
ADA,|DK|Turkish
ADA,|NL|Turkish
ADA,Agriculture
ADB,|DK|Turkish
ADB,|NL|Turkish
ADB,Anglophone|
ADB,Dutch|
ADB,German|
ADB,Tobacco
ADB,Wind energy
ADD,|IE|Ethiopian
ADD,|US|Ethiopian
ADD,|ZA|Ethiopian
ADD,Apparel
ADD,Belt & Road|
ADD,Bureaucracy
ADD,Coffee
ADD,Humanitarian NGO
ADD,Logistics MEA
ADF,Apparel
ADK,Arctic fishing
ADL,|AU|Indian
ADL,LNG
ADL,Viticulture
ADL,Water
ADQ,Arctic fishing
ADZ,Coffee
AEB,Manganese
AEP,|US|Jewish
AEP,Agribusiness
AEP,Dairy
AEP,Loves Florianopolis x2|
AES,Atlantic Fishing
AES,Equinor
AEY,Geothermal
AGA,Horticulture
AGA,Mediterranean Ag
AGP,|ES|Ecuadorian
AGP,Water
AGR,Footwear
AGR,Potato
