id,lat,lon,city,iata,size
715,68.13885164925574,-151.875,Anaktuvuk Pass,AKP,4
837,68.13885164925574,-145.546875,Arctic Village,ARC,4
1735,66.65297740055279,-143.7890625,Chalkyitsik,CIK,4
4417,68.26938680456566,-135,Aklavik,LAK,4
5814,69.7789517764676,-163.125,Point Lay,PIZ,4
6942,66.65297740055279,-159.9609375,Selawik,WLK,4
558,67.06743335108297,-157.8515625,Ambler,ABL,4
680,70.61261423801923,-159.9609375,Wainwright,AIN,4
892,70.49557354093137,-157.5,Atqasuk,ATK,4
1228,65.94647177615738,-161.015625,Buckland,BKC,4
1420,70.14036427207168,-143.4375,Barter Island,BTI,4
1430,66.93006025862447,-151.5234375,Bettles,BTT,4
3506,66.93006025862447,-160.3125,Kiana,IAN,4
3969,66.23145747862573,-145.8984375,Birch Creek,KBC,4
4763,68.9110048456202,-165.9375,Cape Lisburne,LUR,4
5536,70.2594520003064,-151.171875,Nuiqsut,NUI,4
5573,66.93006025862447,-156.796875,Kobuk,OBU,4
5675,66.79190947341796,-161.015625,Noorvik,ORV,4
6307,66.93006025862447,-157.1484375,Shungnak,SHG,4
6308,66.23145747862573,-165.9375,Shishmaref,SHH,4
6992,67.60922060496382,-163.125,Noatak,WTK,4
7164,67.06743335108297,-126.2109375,Colville Lake,YCK,4
7257,70.72897946208789,-117.7734375,Ulukhaktok,YHI,4
621,66.51326044311186,-152.578125,Allakaket,AET,4
2267,66.08936427047087,-162.7734375,Deering,DRG,4
4357,67.7427590666639,-164.53125,Kivalina,KVL,4
5796,68.39918004344187,-166.640625,Point Hope,PHO,4
6237,70.14036427207168,-148.359375,Prudhoe Bay / Deadhorse,SCC,4
6819,67.06743335108297,-146.25,Venetie,VEE,4
7133,68.52823492039876,-89.6484375,Kugaaruk,YBB,4
7168,67.87554134672945,-115.3125,Kugluktuk,YCO,4
7233,66.23145747862573,-128.671875,Fort Good Hope,YGH,4
7258,68.65655498475736,-95.9765625,Gjoa Haven,YHK,4
7357,67.60922060496382,-139.921875,"Old Crow, Yukon",YOC,4
7417,74.68325030051862,-94.921875,Resolute,YRB,4
2816,66.51326044311186,-145.1953125,Fort Yukon,FYU,4
3460,66.08936427047087,-154.3359375,Hughes,HUS,4
7156,69.16255790810499,-105.1171875,Cambridge Bay,YCB,4
7545,69.53451763078358,-93.515625,Taloyoak,YYH,4
1388,71.30079291637452,-156.796875,Barrow,BRW,4
7214,68.26938680456566,-133.59375,Inuvik,YEV,4
5693,66.93006025862447,-162.7734375,Kotzebue,OTZ,3
2950,65.94647177615738,-21.4453125,Gjögur,GJR,4
3059,66.51326044311186,-17.9296875,Grímsey,GRY,4
3542,66.08936427047087,-23.203125,Isafjordur,IFJ,4
5574,70.49557354093137,-21.796875,Ittoqqortoormiit,OBY,4
7177,70.49557354093137,-68.5546875,Clyde River,YCY,4
7249,76.43460358351301,-82.96875,Grise Fiord,YGZ,4
8140,72.91963546581482,-55.546875,Aappilattoq,AOQ,4
8154,68.13885164925574,-53.0859375,Iginniarfik,QFI,4
8158,67.87554134672945,-53.7890625,Attu,QGQ,4
8165,68.13885164925574,-53.4375,Ikerasaarsuk,QRY,4
8169,65.94647177615738,-36.2109375,Sermiligaaq,SGG,4
8170,77.76758238272801,-70.6640625,Siorapaluk,SRK,4
8171,76.01609366420996,-65.0390625,Savissivik,SVR,4
8173,65.94647177615738,-37.6171875,Tiniteqilaaq,TQI,4
8176,69.03714171275197,-50.9765625,Ilimanaq,XIQ,4
3572,70.49557354093137,-51.328125,Ikerasak,IKE,4
6539,66.23145747862573,-15.46875,Thorshofn,THO,4
6544,76.51681887717324,-68.5546875,Pituffik,THU,4
7244,69.41124235697255,-81.9140625,Igloolik,YGT,4
7276,72.71190310803662,-78.046875,Pond Inlet,YIO,4
7487,66.51326044311186,-86.1328125,Repulse Bay,YUT,4
7488,68.78414378041504,-81.2109375,Hall Beach,YUX,4
7496,67.60922060496382,-63.984375,Qikiqtarjuaq,YVM,4
7529,66.08936427047087,-65.7421875,Pangnirtung,YXP,4
8143,73.22669969306126,-55.8984375,Innaarsuit,IUI,4
8144,71.07405646336098,-52.03125,Ukkusissat,JUK,4
8146,72.3957057065326,-55.546875,Kangersuatsiaq,KGQ,4
8147,74.59010800882324,-57.3046875,Kullorsuaq,KHQ,4
8149,70.84467263425277,-53.7890625,Niaqornat,NIQ,4
8150,74.1160468394894,-56.953125,Nuussuaq,NSQ,4
8151,70.02058730174062,-51.328125,Qeqertaq,PQT,4
8152,68.78414378041504,-52.3828125,Akunnaaq,QCU,4
8159,68.9110048456202,-53.0859375,Kitsissuarsuit,QJE,4
8162,68.26938680456566,-52.734375,Niaqornaarsuk,QMK,4
