ABK,ET,2700,Kebri Dahar,363000,
ABL,US,78993,Ambler Airport,258,
ADK,US,78993,Adak Airport,326,
AFL,BR,29000,Piloto Osvaldo Marques Dias Airport,4215,
AKN,US,78993,King Salmon Airport,374,
AKP,US,78993,Anaktuvuk Pass Airport,324,
AO1,JP,37134,Aogashima Heliport,170,
ARC,US,78993,Arctic Village Airport,152,
ARK,TZ,3892,Arusha,92450,
ATT,US,78993,Atmautluak Airport,227,
AVX,US,78993,Anacortes Airport,16638,
BEU,AU,78993,Bedourie Airport,100,
BID,US,98993,Block Island State Airport,1401,
BQL,AU,78993,Boulia Airport,307,
BVI,AU,78993,Birdsville Airport,115,
BVJ,RU,70271,Bovanenkovo gas field,1200,
BYR,DK,59000,Læsø Airport,1787,
CBC,CA,68425,Harbour (Public) Heliport,5000,550
CBI,AU,78993,Cape Barren,68,
CDV,US,78993,Cordova,2609,
CMF,FR,143100,Mont Blanc,64217,215
CXH,CA,68425,Vancouver Harbour,2500,250
DIO,US,78993,Diomede Heliport,118,
DJG,AG,12400,Djanet,14655,
DLG,US,78993,Dillingham Airport,2329,
DNH,CN,4994,Dunhuang,185231,
DUT,US,78993,Tom Madsen (Dutch Harbor) Airport,4283,
EAA,US,78993,Eagle Airport,8,
EGA,AQ,128900,Halley Research Station,70,
EGR,AQ,128900,Rothera Research Station,160,
EGX,US,78993,Egegik Airport,109,
EH1,NO,113000,A12-CPP Platform Helipad,80,
EMK,US,78993,Emmonak Airport,802,
EN3,NO,113000,Valhall Flank South Platform,110,
END,NO,113000,Draupner Platform,110,
ENQ,NO,113000,Troll A Platform,110,
ENR,NO,135000,Oslo Heliport,500,270
ENX,NO,113000,Tambar Platform,110,
FLS,AU,78993,Flinders,922,
FYU,US,78993,Fort Yukon Airport,616,
GAL,US,78993,Edward G. Pitka Sr Airport,470,
GAM,US,78993,Gambell Airport,681,
GDE,ET,2700,Gode Airport,9804,
GKN,US,78993,Gulkana Airport,119,
GLW,US,190000,London,1000,600
GMZ,ES,17000,La Gomera Airport,22947,
GOQ,CN,1945,Golmud,221863,
HAA,NO,113000,Hasvik Airport,110,
HAC,JP,37134,Hachijō-jima,7522,
HGL,DE,55000,Heide-Büsum Airport,4929,
HHP,HK,120000,Hong Kong,500,725
HKB,US,78993,Healy Lake Airport,13,
HNH,US,78993,Hoonah Airport,760,
HNM,US,78993,Hana Airport,1235,
HOI,FR,21615,Hao,1101,
HSG,JP,37134,Saga Airport,82241,10
HSL,US,78993,Huslia Airport,275,
HTO,US,78993,Town of East Hampton Airport,28394,725
IIA,IE,103000,Inishmaan Aerodrome,272,
IKI,JP,37134,Iki Airport,27600,
ILI,US,78993,Iliamna Airport,102,
INQ,IE,103000,Inisheer Aerodrome,262,
IOR,IE,103000,Inishmore Aerodrome,177,
IQM,CN,4994,Qiemo,18893,
JCU,ES,17000,Ceuta Heliport,85144,
JNX,GR,51454,Naxos Island National Airport,1862,
JPY,BR,78993,Paraty Airport,4310,
JRA,US,220000,West 30th Street Heliport,1000,725
JRB,US,220000,Downtown Manhattan Heliport,1000,725
JZH,CN,2945,Jiuzhai,12361,
KCG,US,78993,Chignik Airport,74,
KPO,KR,39134,Pohang Airport (G-815/K-3),508198,15
KTD,JP,39134,Kitadaito Airport,660,
KZS,GR,51454,Kastelorizo Airport,492,
LCX,CN,16575,Longyan,2559545,
LFP,FR,103000,Paris Heliport,2500,450
LPS,US,78993,,3156,
LZN,TW,78626,Nangan,7815,
MCG,US,78993,McGrath Airport,346,
MCM,MC,220862,Monaco,1900,700
MFK,TW,78626,Beigan,3155,
MK1,JP,37134,Mikurajima Heliport,297,
MKQ,ID,21000,Mopah International Airport,2564,
MLY,US,78993,Manley Hot Springs Airport,125,
MMD,JP,39134,Minamidaito Airport,1418,
MPN,GB,114465,Mount Pleasant Airport,3469,
MSA,CA,39461,Muskrat Dam Airport,346,
MYI,AU,38993,,406,
MYU,US,78993,Mekoryuk Airport,210,
NAH,ID,16142,Naha Airport,12425,
NNR,IE,103000,Connemara Regional Airport,1590,
NPO,ID,16142,Nanga Pinoh Airport,42912,
NRL,GB,53043,North Ronaldsay,59,
NSP,AQ,138900,Amundsen-Scott South Pole Station,170,
NTQ,JP,37134,Noto Satoyama Airport,34444,20
NTX,ID,8300,Ranai,8735,
NUP,US,78993,Nunapitchuk Airport,539,
NZF,AQ,138900,McMurdo Station,1500,40
OIM,JP,39134,Oshima Airport,7982,
OIR,JP,39134,Okushiri Airport,2925,
OKE,JP,37134,Okinoerabu Airport,11892,
ORT,US,78993,Northway Airport,72,
PBS,BR,29000,Petrobras P-20 Platform Helideck,130,
PDB,US,78993,Pedro Bay Airport,48,
PHO,US,78993,Point Hope,830,
PIZ,US,78993,Point Lay LRRS Airport,170,
PKR,NP,7618,Pokhara,600051,
PPW,GB,53043,Papa Westray,95,
PQS,US,78993,Pilot Station Airport,344,
