airlineCodeIATA,fromAirportIATA,toAirportIATA,codeshare,stops,airplane
C7,MAO,CIZ,,0,EMB
2A,DAC,CGP,,0,AT7
2A,DAC,CXB,,0,AT7
2A,DAC,SPD,,0,AT7
2G,IKT,BTK,,0,A81
2G,IKT,HTA,,0,AN4
2G,IKT,KCK,,0,AN4
2G,IKT,MJZ,,0,A81
2G,IKT,ODO,,0,AN4
2G,IKT,OVB,,0,A81
2G,IKT,TLK,,0,AN4
2G,IKT,UKX,,0,AN4
2G,IKT,ULK,,0,AN4
2G,IKT,YKS,,0,A81
2G,KJA,TLK,,0,A81
2G,OVB,TLK,,0,A81
2G,OVB,TOF,,0,A81
2G,OVB,UFA,,0,A81
2G,SGC,TOF,,0,A81
2I,IQT,PCL,,0,733
2I,IQT,TPP,,0,733
2I,LIM,CIX,,0,733
2I,LIM,CJA,,0,733
2I,LIM,HUU,,0,DH4
2I,LIM,PCL,,0,733
2I,LIM,TPP,,0,733
2J,ABJ,ACC,,0,E90
2J,ABJ,BOY,,0,E75 E90
2J,BKO,DSS,,0,E75 E90
2J,COO,LFW,,0,E90
2J,OUA,ABJ,,0,E75 E90
2J,OUA,ACC,,0,E90
2J,OUA,BKO,,0,E75 E90
2J,OUA,BOY,,0,E75 E90
2J,OUA,COO,,0,E75 E90
2J,OUA,DSS,,0,E75 E90
2J,OUA,LFW,,0,E90
2J,OUA,NIM,,0,E75 E90
2M,BZE,CUK,,0,CNC
2M,BZE,CUN,,0,CNC
2M,BZE,DGA,,0,CNC
2M,BZE,PLJ,,0,CNC
2M,BZE,SPR,,0,CNC
2M,BZE,TZA,,0,CNC
2M,DGA,INB,,0,CNC
2M,SPR,CUK,,0,CNC
2M,SPR,CZH,,0,CNC
2M,PLJ,DGA,,0,CNC
2M,PLJ,INB,,0,CNC
2M,TZA,DGA,,0,CNC
2M,TZA,SPR,,0,CNC
2N,ABV,BNI,,0,320
2N,ABV,KAN,,0,320
2N,ABV,LOS,,0,320
2N,ABV,PHC,,0,320
2N,ABV,YOL,,0,320
2N,LOS,PHC,,0,320
2O,ADQ,AOS,,0,BNI
2O,ADQ,KKB,,0,BNI
2O,ADQ,KLN,,0,BNI
2O,ADQ,KOY,,0,BNI
2O,ADQ,KOZ,,0,BNI
2O,ADQ,KPY,,0,BNI
2O,ADQ,OLH,,0,BNI
2O,AOS,KZB,,0,BNI
2O,KKB,SYB,,0,BNI
2O,KLN,KYK,,0,BNI
2O,KMY,ALZ,,0,BNI
2O,KOY,KMY,,0,BNI
2O,KOZ,ORI,,0,BNI
2O,KPY,UGI,,0,BNI
2O,SYB,KPR,,0,BNI
2O,UGI,KWP,,0,BNI
2R,CRK,CGM,,0,AT7
2R,CRK,IAO,,0,AT7
2R,CRK,USU,,0,AT7
2R,MNL,CGM,,0,AT7
2R,MNL,IAO,,0,AT7
2R,MNL,SWL,,0,AT7
2R,MNL,USU,,0,AT7
2W,MAD,CUN,,0,359
2W,MAD,HAV,,0,359
2W,MAD,PUJ,,0,359
2W,MAD,SDQ,,0,359
2Z,BSB,AUX,,0,AT7
2Z,BSB,BRA,,0,AT7
2Z,BSB,RAO,,0,AT7
2Z,BSB,SJP,,0,AT7
2Z,BSB,UDI,,0,AT7
2Z,CGH,ARU,,0,AT7
2Z,CGH,IPN,,0,AT7
2Z,CGH,RAO,,0,AT7
2Z,CGH,RIA,,0,AT7
2Z,CGH,SJP,,0,AT7
2Z,CGH,TXF,,0,AT7
2Z,CGH,UBA,,0,AT7
2Z,CGH,UDI,,0,AT7
2Z,FOR,BEL,,0,AT7
2Z,FOR,JDO,,0,AT7
2Z,FOR,JJD,,0,AT7
2Z,FOR,PHB,,0,AT7
2Z,MAO,BEL,,0,AT7
2Z,MAO,CAF,,0,AT7
2Z,MAO,CIZ,,0,AT7
2Z,MAO,ITB,,0,AT7
2Z,MAO,PIN,,0,AT7
2Z,PHB,JJD,,0,AT7
2Z,PHB,THE,,0,AT7
2Z,RAO,GYN,,0,AT7
2Z,RAO,SDU,,0,AT7
2Z,REC,FEN,,0,AT7
2Z,RIA,URG,,0,AT7
2Z,SSA,BRA,,0,AT7
2Z,SSA,LEC,,0,AT7
2Z,SSA,PAV,,0,AT7
2Z,SSA,TXF,,0,AT7
2Z,SSA,VDC,,0,AT7
3C,AKL,CHT,,0,AT7 SWM
3C,AKL,NLK,,0,SF3
3C,AKL,PPQ,,0,SF3
3C,AKL,WAG,,0,SF3
3C,AKL,WHK,,0,SWM
3C,CHT,CHC,,0,AT7 SWM
3C,CHT,WLG,,0,AT7
3C,WAG,PPQ,,0,SF3
3E,ATL,MKL,,0,CNC
3E,MCW,BRL,,0,CNC
3E,MCW,FOD,,0,CNC
3E,MSP,FOD,,0,CNC
3E,MSP,IWD,,0,CNC
3E,MSP,MCW,,0,CNC
3E,ORD,BRL,,0,CNC
3E,ORD,IWD,,0,CNC
3E,ORD,MCW,,0,CNC
3E,STL,BRL,,0,CNC
3E,STL,FOD,,0,CNC
3E,STL,JBR,,0,CNC
3E,STL,MKL,,0,CNC
3F,EVN,AER,,0,320
3F,EVN,CDG,,0,320
3F,EVN,DME,,0,320
3F,EVN,IST,,0,320
3F,EVN,LCA,,0,320
3F,EVN,LED,,0,320
3F,EVN,MRV,,0,320
3F,EVN,MXP,,0,320
3F,EVN,RMO,,0,320
3F,EVN,SVO,,0,320
3F,EVN,TBS,,0,320
3F,EVN,VKO,,0,320
3H,YGW,YGL,,0,DHT
3H,YGW,YSK,,0,DHT DH3
3H,YGW,YUD,,0,DHT DH3
3H,YIK,AKV,,0,DHT DH3
3H,YIK,YZG,,0,DH3
3H,YKG,YQC,,0,DH3
3H,YKL,YZV,,0,DH3
3H,YKL,YWK,,0,BET
3H,YKL,YZV,,0,DH1
3H,YPH,YPX,,0,DHT DH3
3H,YPH,YUD,,0,DHT DH3
3H,YPJ,YKG,,0,DHT DH3
3H,YPJ,YTQ,,0,DHT
3H,YPX,AKV,,0,DHT DH3
3H,YPX,YGL,,0,732
3H,YPX,YZG,,0,DHT
3H,YUD,YSK,,0,DHT DH3
3H,YUL,YGL,,0,732
3H,YUL,YGW,,0,DHT DH3 
3H,YUL,YQB,,0,DH3 733
3H,YVP,XGR,,0,BET DHT
3H,YVP,YKG,,0,DHT DH1
3H,YVP,YKL,,0,BET DH3
3H,YVP,YPH,,0,DH1 DH3
3H,YVP,YPJ,,0,DHT
3H,YVP,YPX,,0,DHT
3H,YVP,YQB,,0,733
3H,YVP,YTQ,,0,DHT DH3
3H,YWB,YQC,,0,DH3
3H,YWB,YZG,,0,DHT DH3
3J,HGA,BSA,,0,F50
3J,HGA,GGR,,0,F50
3J,HGA,JIB,,0,F50
3J,HGA,NBO,,0,F50
3J,MGQ,BSA,,0,F50
3J,MGQ,GGR,,0,F50
3J,MGQ,GLK,,0,F50
3J,MGQ,KMU,,0,F50
3J,MGQ,NBO,,0,F50
3L,AUH,AMD,,0,320
3L,AUH,AMM,,0,320
3L,AUH,BAH,,0,320
3L,AUH,BEY,,0,320
3L,AUH,BGW,,0,320
3L,AUH,CAI,,0,320
3L,AUH,CCJ,,0,320
3L,AUH,CCU,,0,320
3L,AUH,CGP,,0,320
3L,AUH,CMB,,0,320
3L,AUH,COK,,0,320
3L,AUH,DAC,,0,320
3L,AUH,DME,,0,320
3L,AUH,GYD,,0,320
3L,AUH,HBE,,0,320
3L,AUH,HMB,,0,320
3L,AUH,IKA,,0,320
3L,AUH,KTM,,0,320
3L,AUH,KWI,,0,320
3L,AUH,LYP,,0,320
3L,AUH,MAA,,0,320
3L,AUH,MCT,,0,320
3L,AUH,MUX,,0,320
3L,AUH,SAW,,0,320
3L,AUH,SLL,,0,320
3L,AUH,TAS,,0,320
3L,AUH,TBS,,0,320
3L,AUH,TRV,,0,320
3O,AGA,RBA,,0,320
3O,CMN,AGP,,0,320
3O,CMN,BCN,,0,320
3O,CMN,BGY,,0,320
3O,CMN,BLQ,,0,320
3O,CMN,BSL,,0,320
3O,CMN,BGY,,0,320
3O,CMN,BRU,,0,320
3O,CMN,CTA,,0,320
3O,CMN,CUF,,0,320
3O,CMN,GVA,,0,320
3O,CMN,LYS,,0,320
3O,CMN,MPL,,0,320
3O,CMN,NAP,,0,320
3O,CMN,PSA,,0,320
3O,CMN,RMU,,0,320
3O,CMN,SAW,,0,320
3O,CMN,TLS,,0,320
3O,CMN,VCE,,0,320
3O,FEZ,AGA,,0,320
3O,FEZ,AMS,,0,320
3O,FEZ,BCN,,0,320
3O,FEZ,BOD,,0,320
3O,FEZ,BRU,,0,320
3O,FEZ,CDG,,0,320
3O,FEZ,IST,,0,320
3O,FEZ,LYS,,0,320
3O,FEZ,MPL,,0,320
3O,FEZ,MRS,,0,320
3O,FEZ,NCE,,0,320
3O,FEZ,NRN,,0,320
3O,FEZ,RAK,,0,320
3O,FEZ,SXB,,0,320
3O,FEZ,TLS,,0,320
3O,NDR,AMS,,0,320
3O,NDR,BCN,,0,320
3O,NDR,BRU,,0,320
3O,NDR,CGN,,0,320
3O,NDR,HHN,,0,320
3O,NDR,MPL,,0,320
3O,NDR,PMI,,0,320
3O,NDR,SXB,,0,320
3O,NDR,TNG,,0,320
3O,OUD,BRU,,0,320
3O,OUD,CDG,,0,320
3O,OUD,MPL,,0,320
3O,OUD,RMU,,0,320
3O,RAK,VIL,,0,320
3O,TNG,AGA,,0,320
3O,TNG,AMS,,0,320
3O,TNG,BCN,,0,320
3O,TNG,BIO,,0,320
3O,TNG,BRU,,0,320
3O,TNG,CGN,,0,320
3O,TNG,LGW,,0,320
3O,TNG,LYS,,0,320
3O,TNG,MAD,,0,320
3O,TNG,MPL,,0,320
3O,TNG,SAW,,0,320
3O,TTU,CDG,,0,320
3P,AUA,BON,,0,SH6
3P,AUA,CUR,,0,SH6
3P,AUA,LSP,,0,SH6
3P,AUA,PTY,,0,733
3P,AUA,RCH,,0,SH6
3P,BON,AUA,,0,SH6
3P,BON,CUR,,0,SH6
3R,DME,ASF,,0,SU9
3R,DME,BHK,,0,73G
3R,DME,FEG,,0,73G
3R,DME,KSQ,,0,73G
3R,DME,NMA,,0,73G
3R,DME,NVI,,0,73G
3R,DME,SKD,,0,73G
3R,DME,STW,,0,SU9
3R,LED,ASF,,0,SU9
3S,FDF,BGI,,0,AT5
3S,FDF,SLU,,0,AT5
3S,PTP,DOM,,0,AT5
3S,PTP,FDF,,0,AT5
3S,PTP,SBH,,0,DHT
3S,PTP,SDQ,,0,AT5
3S,PTP,SFG,,0,AT5
3S,PTP,SXM,,0,AT5
3S,SXM,BGI,,0,AT5
3S,SXM,DOM,,0,AT5
3S,SXM,SBH,,0,DHT
3S,SXM,SJU,,0,AT5
3T,PZU,ASM,,0,733
3T,PZU,CAI,,0,733
3T,PZU,DMM,,0,733
3T,PZU,DOH,,0,733
3T,PZU,DXB,,0,733
3T,PZU,JED,,0,733
3T,PZU,RUH,,0,733
3T,PZU,SHJ,,0,733
3U,CAN,CXR,,0,320
3U,CAN,HGH,,0,320
3U,CAN,KMG,,0,320
3U,CAN,KOS,,0,320 321
3U,CAN,LZO,,0,320
3U,CAN,XIC,,0,320
3U,CAN,YBP,,0,320
3U,CGO,CGQ,,0,319 320
3U,CGO,HRB,,0,320
3U,CGO,JHG,,0,320
3U,CGO,KMG,,0,320
3U,CGQ,LFQ,,0,320
3U,CKG,BHY,,0,320
3U,CKG,BKK,,0,320 321
3U,CKG,CAN,,0,320 321
3U,CKG,CGO,,0,320
3U,CKG,CSX,,0,320 321
3U,CKG,FOC,,0,319
3U,CKG,HAK,,0,320
3U,CKG,HFE,,0,319 320
3U,CKG,HGH,,0,319 320 321
3U,CKG,HKT,,0,320
3U,CKG,HRB,,0,320
3U,CKG,INC,,0,320
3U,CKG,JHG,,0,320
3U,CKG,KHN,,0,319 320
3U,CKG,KMG,,0,320
3U,CKG,LHW,,0,320
3U,CKG,LJG,,0,320
3U,CKG,LXA,,0,319
3U,CKG,LZY,,0,319
3U,CKG,NGB,,0,319 320
3U,CKG,NKG,,0,319 320
3U,CKG,NNG,,0,320
3U,CKG,PEK,,0,320 321
3U,CKG,PVG,,0,320 321
3U,CKG,SWA,,0,320
3U,CKG,SYX,,0,320 321
3U,CKG,SZX,,0,320 321
3U,CKG,TNA,,0,319 320
3U,CKG,TSA,,0,321
3U,CKG,TSN,,0,320 321
3U,CKG,TYN,,0,319 320
3U,CKG,URC,,0,321
3U,CKG,WNZ,,0,320
3U,CKG,WHA,,0,320
3U,CKG,WUH,,0,320
3U,CKG,WUX,,0,320 321
3U,CKG,XMN,,0,319 320
3U,CKG,YTY,,0,320
3U,CKG,ZUH,,0,320
3U,CSX,NTG,,0,320
3U,CSX,YBP,,0,320
3U,CSX,YNZ,,0,320
3U,CTU,BPL,,0,319 320
3U,CTU,CAN,,0,320 321 332 359
3U,CTU,CGO,,0,320 321
3U,CTU,CGQ,,0,320
3U,CTU,CNX,,0,320
3U,CTU,CSX,,0,319 320
3U,CTU,CZX,,0,320
3U,CTU,DLU,,0,319 320
3U,CTU,FOC,,0,320 321
3U,CTU,HAK,,0,320 321
3U,CTU,HDG,,0,320
3U,CTU,HET,,0,319 320
3U,CTU,HFE,,0,320
3U,CTU,HGH,,0,320 321
3U,CTU,HKT,,0,320
3U,CTU,HRB,,0,320
3U,CTU,JHG,,0,319 320
3U,CTU,KBV,,0,320
3U,CTU,KGT,,0,319
3U,CTU,KHG,,0,320
3U,CTU,KMG,,0,320
3U,CTU,LHW,,0,319 320 321
3U,CTU,LXA,,0,319
3U,CTU,LZY,,0,319
3U,CTU,NGB,,0,320 321
3U,CTU,NKG,,0,320 321
3U,CTU,NNG,,0,319
3U,CTU,PEK,,0,320 321 332 359
3U,CTU,PVG,,0,319 320 321
3U,CTU,SGN,,0,320
3U,CTU,SHE,,0,320 321
3U,CTU,SWA,,0,320
3U,CTU,SYX,,0,320 321
3U,CTU,SZX,,0,320 321
3U,CTU,TAO,,0,319 320 321
3U,CTU,TNA,,0,319 320 321
3U,CTU,TSN,,0,320 321
3U,CTU,TYN,,0,319 321
3U,CTU,URC,,0,320 321
3U,CTU,WNZ,,0,321
3U,CTU,WUH,,0,320 321
3U,CTU,WUX,,0,320 321
3U,CTU,XIC,,0,320
3U,CTU,XMN,,0,319 320 321
3U,CTU,XNN,,0,319 320
3U,CTU,YTY,,0,320 321
3U,CTU,ZUH,,0,320
3U,DZH,HSN,,0,319
3U,DZH,JJN,,0,319
3U,HAK,BKK,,0,320
3U,HAK,CZX,,0,320
3U,HGH,HRB,,0,320
3U,HGH,LHW,,0,320
3U,HGH,LUM,,0,320
3U,HGH,LZO,,0,320
3U,HGH,NNG,,0,320
3U,HGH,RGN,,0,320
3U,HGH,YBP,,0,320
3U,HGH,ZAT,,0,320
3U,HRB,CZX,,0,320
3U,HRB,NKG,,0,320 321
3U,HRB,PEK,,0,320
3U,HRB,PVG,,0,320
3U,HRB,SYX,,0,320
3U,HRB,TYN,,0,320
3U,HRB,WNZ,,0,320
3U,HRB,WUH,,0,320
3U,HRB,XIY,,0,321
3U,HRB,XUZ,,0,320
3U,INC,DXB,,0,332
3U,INC,KWL,,0,320
3U,JHG,TNA,,0,320
3U,JHG,LZO,,0,320
3U,JHG,MIG,,0,320
3U,JHG,NGB,,0,320
3U,JHG,TNA,,0,320
3U,JHG,YBP,,0,319
3U,KHN,HSN,,0,319 320
3U,KHN,NNG,,0,321
3U,KHN,TSN,,0,321
3U,KMG,BZX,,0,320
3U,KMG,GYS,,0,320
3U,KMG,LFQ,,0,320
3U,KMG,LYG,,0,320
3U,KMG,NGB,,0,320
3U,KMG,NKG,,0,320
3U,KMG,PEK,,0,320
3U,KMG,PVG,,0,320
3U,KMG,SZX,,0,320
3U,KMG,TNA,,0,320
3U,KMG,VTE,,0,320
3U,KMG,WXN,,0,320
3U,KMG,XIY,,0,320
3U,KMG,XMN,,0,320
3U,KMG,XUZ,,0,320
3U,KMG,YLX,,0,320
3U,KMG,ZHY,,0,320
3U,KWE,LHW,,0,320
3U,KWE,SYX,,0,320
3U,KWE,XUZ,,0,320
3U,LHW,DNH,,0,320
3U,LZO,NKG,,0,320
3U,LZO,NGB,,0,320
3U,LZO,NNG,,0,320
3U,LZO,SYX,,0,320
3U,LZO,XIC,,0,320
3U,LZO,XNN,,0,320
3U,LZO,URC,,0,320
3U,NNG,CGK,,0,321
3U,NNG,GYS,,0,319 320
3U,NNG,HAN,,0,321
3U,NNG,RGN,,0,321
3U,NNG,SGN,,0,320
3U,NNG,SIN,,0,321
3U,NNG,TNA,,0,320
3U,NNG,WUH,,0,320
3U,PEK,MIG,,0,320
3U,PEK,SYX,,0,320
3U,PEK,WXN,,0,320
3U,PEK,URC,,0,320
3U,PEK,YBP,,0,320
3U,PEK,ZHY,,0,320
3U,SHE,TYN,,0,320
3U,SHE,XIY,,0,320
3U,SHE,XUZ,,0,320
3U,SYX,KWL,,0,320
3U,SYX,MIG,,0,320
3U,SYX,NGB,,0,320
3U,SYX,TNA,,0,320
3U,SYX,YBP,,0,320
3U,TNA,BKK,,0,320
3U,TNA,BZX,,0,320
3U,TNA,CGQ,,0,320
3U,TNA,GYS,,0,320
3U,TFU,AKL,,0,359
3U,TFU,AKU,,0,320
3U,TFU,AOG,,0,319 320
3U,TFU,BAR,,0,320
3U,TFU,BHY,,0,320
3U,TFU,BKK,,0,321
3U,TFU,CAI,,0,332
3U,TFU,CAB,,0,320 321
3U,TFU,CGD,,0,320 321
3U,TFU,CGO,,0,319 320 321
3U,TFU,CGQ,,0,320 321
3U,TFU,CSX,,0,321
3U,TFU,CXR,,0,321
3U,TFU,DCY,,0,319
3U,TFU,DIG,,0,320
3U,TFU,DLU,,0,319 320
3U,TFU,DSN,,0,319 320
3U,TFU,DXB,,0,332 333
3U,TFU,DZH,,0,319 320
3U,TFU,FCO,,0,332
3U,TFU,FOC,,0,320
3U,TFU,GXH,,0,319
3U,TFU,GZG,,0,319
3U,TFU,HAK,,0,320
3U,TFU,HAN,,0,320
3U,TFU,HFE,,0,320 321
3U,TFU,HGH,,0,319 320 359
3U,TFU,HKG,,0,320 321
3U,TFU,HKT,,0,320 321
3U,TFU,HRB,,0,320 321
3U,TFU,HUZ,,0,320
3U,TFU,ICN,,0,320
3U,TFU,INC,,0,320 321
3U,TFU,IST,,0,332
3U,TFU,JGN,,0,320
3U,TFU,JHG,,0,319 320
3U,TFU,JZH,,0,319
3U,TFU,KCA,,0,320
3U,TFU,KHG,,0,321
3U,TFU,KHN,,0,320
3U,TFU,KIX,,0,320
3U,TFU,KMG,,0,319 320 321
3U,TFU,KRL,,0,320
3U,TFU,KRY,,0,320
3U,TFU,KTM,,0,319
3U,TFU,KUL,,0,321
3U,TFU,LED,,0,332
3U,TFU,LFQ,,0,320
3U,TFU,LHW,,0,319 320
3U,TFU,LLV,,0,320
3U,TFU,LUM,,0,319 320
3U,TFU,LXA,,0,319
3U,TFU,LZH,,0,319
3U,TFU,LZY,,0,319
3U,TFU,MEL,,0,359
3U,TFU,NGB,,0,320 321
3U,TFU,NKG,,0,319 320 321
3U,TFU,NNG,,0,320 321
3U,TFU,NRT,,0,320
3U,TFU,PEK,,0,319 320 332
3U,TFU,PVG,,0,320 321
